mesh,node1,node2,type,length,lane,restriction,dir,traveltime
523657,4129001,4129025,9,17,0,0,0,4.212
523657,4129001,4129025,9,17,0,0,1,5.832
523657,4129001,4145969,9,82,0,0,0,22.398
523657,4129001,4145969,9,82,0,0,1,27.923
523657,4129001,4146865,7,99,0,5,1,42.832
523657,4129001,4146866,7,93,0,4,0,13.988
523657,4129011,4129031,9,79,0,0,0,14.289
523657,4129011,4129031,9,79,0,0,1,15.748
523657,4129011,4145961,9,42,0,0,0,7.651
523657,4129011,4145961,9,42,0,0,1,9.312
523657,4129011,4146086,9,41,0,0,0,12.335
523657,4129011,4146086,9,41,0,0,1,7.495
523657,4129025,4129200,9,44,0,0,0,12.88
523657,4129025,4129200,9,44,0,0,1,14.721
523657,4129031,4129080,9,94,0,0,0,22.296
523657,4129031,4129080,9,94,0,0,1,20.458
523657,4129031,4145959,9,40,0,0,0,9.54
523657,4129031,4145959,9,40,0,0,1,9.977
523657,4129031,4146084,9,42,0,0,0,9.664
523657,4129031,4146084,9,42,0,0,1,8.214
523657,4129080,4129219,9,85,0,0,0,13.195
523657,4129080,4129219,9,85,0,0,1,23.479
523657,4129080,4145957,9,38,0,0,0,17.336
523657,4129080,4145957,9,38,0,0,1,14.154
523657,4129080,4146082,9,46,0,0,0,22.026
523657,4129080,4146082,9,46,0,0,1,13.204
523657,4129200,4129251,9,41,0,0,0,17.333
523657,4129200,4129251,9,41,0,0,1,12.985
523657,4129200,4129268,9,175,0,0,0,33.216
523657,4129200,4129268,9,175,0,0,1,47.5
523657,4129219,4134153,9,116,0,0,0,19.953
523657,4129219,4134153,9,116,0,0,1,26.297
523657,4129219,4145955,9,41,0,0,0,12.911
523657,4129219,4145955,9,41,0,0,1,14.869
523657,4129219,4146080,9,47,0,0,0,9.333
523657,4129219,4146080,9,47,0,0,1,11.547
523657,4129251,4129314,9,94,0,0,0,19.322
523657,4129251,4129314,9,94,0,0,1,43.029
523657,4129268,4129303,9,75,0,0,0,14.739
523657,4129268,4129303,9,75,0,0,1,15.017
523657,4129268,4129479,9,63,0,0,0,18.302
523657,4129268,4129479,9,63,0,0,1,12.25
523657,4129268,4146087,9,49,0,0,0,9.597
523657,4129268,4146087,9,49,0,0,1,10.723
523657,4129282,4134192,5,18,6,5,1,4.032
523657,4129282,4134390,5,22,0,0,0,7.574
523657,4129282,4134390,5,22,0,0,1,4.054
523657,4129282,4143140,5,118,6,4,0,18.362
523657,4129300,4134153,9,95,0,0,0,15.117
523657,4129300,4134153,9,95,0,0,1,14.627
523657,4129300,4145943,9,131,0,0,0,36.212
523657,4129300,4145943,9,131,0,0,1,26.022
523657,4129300,4145945,9,44,0,0,0,16.536
523657,4129300,4145945,9,44,0,0,1,10.415
523657,4129300,4145974,9,47,0,0,0,13.707
523657,4129300,4145974,9,47,0,0,1,12.245
523657,4129303,4129459,9,92,0,0,0,31.832
523657,4129303,4129459,9,92,0,0,1,17.205
523657,4129303,4129556,9,73,0,0,0,14.147
523657,4129303,4129556,9,73,0,0,1,12.448
523657,4129303,4146085,9,49,0,0,0,10.03
523657,4129303,4146085,9,49,0,0,1,9.764
523657,4129314,4129479,9,84,0,0,0,19.415
523657,4129314,4129479,9,84,0,0,1,19.986
523657,4129458,4129520,9,7,0,0,0,1.445
523657,4129458,4129520,9,7,0,0,1,1.312
523657,4129458,4129573,9,53,0,0,0,17.492
523657,4129458,4129573,9,53,0,0,1,27.434
523657,4129458,4143129,9,78,0,0,0,22.944
523657,4129458,4143129,9,78,0,0,1,20.516
523657,4129459,4129525,9,78,0,0,0,13.776
523657,4129459,4129525,9,78,0,0,1,14.739
523657,4129459,4129744,9,52,0,0,0,13.979
523657,4129459,4129744,9,52,0,0,1,22.165
523657,4129459,4146083,9,50,0,0,0,31.393
523657,4129459,4146083,9,50,0,0,1,11.835
523657,4129479,4129556,9,62,0,0,0,10.18
523657,4129479,4129556,9,62,0,0,1,14.126
523657,4129520,4129574,9,75,0,0,0,14.871
523657,4129520,4129574,9,75,0,0,1,30.016
523657,4129520,4143137,9,92,0,0,0,36.884
523657,4129520,4143137,9,92,0,0,1,26.361
523657,4129525,4129737,9,24,0,0,0,4.47
523657,4129525,4129737,9,24,0,0,1,4.288
523657,4129525,4146081,9,51,0,0,0,14.076
523657,4129525,4146081,9,51,0,0,1,10.956
523657,4129556,4129745,9,15,0,0,0,1.957
523657,4129556,4129745,9,15,0,0,1,2.371
523657,4129575,4143139,9,109,0,0,0,23.391
523657,4129575,4143139,9,109,0,0,1,26.655
523657,4129576,4134390,9,95,0,0,0,16.901
523657,4129576,4134390,9,95,0,0,1,20.064
523657,4129584,4143153,9,37,0,0,0,7.274
523657,4129584,4143153,9,37,0,0,1,8.319
523657,4129585,4143158,9,31,0,0,0,8.044
523657,4129585,4143158,9,31,0,0,1,6.911
523657,4129586,4143160,9,30,0,0,0,12.56
523657,4129586,4143160,9,30,0,0,1,9.111
523657,4129587,4134898,9,15,0,0,0,12.359
523657,4129587,4134898,9,15,0,0,1,3.472
523657,4129588,4143267,9,60,0,0,0,16.86
523657,4129588,4143267,9,60,0,0,1,13.487
523657,4129589,4143269,9,67,0,0,0,32.936
523657,4129589,4143269,9,67,0,0,1,14.511
523657,4129591,4145188,9,56,0,0,0,14.502
523657,4129591,4145188,9,56,0,0,1,12.549
523657,4129592,4145190,9,48,0,0,0,23.652
523657,4129592,4145190,9,48,0,0,1,14.444
523657,4129593,4145192,9,37,0,0,0,12.002
523657,4129593,4145192,9,37,0,0,1,8.084
523657,4129696,4145200,9,25,0,0,0,16.335
523657,4129696,4145200,9,25,0,0,1,5.738
523657,4129697,4145202,9,16,0,0,0,8.742
523657,4129697,4145202,9,16,0,0,1,5.854
523657,4129698,4145204,9,11,0,0,0,5.269
523657,4129698,4145204,9,11,0,0,1,4.649
523657,4129702,4145319,7,93,6,5,1,24.74
523657,4129703,4145321,7,85,6,4,0,24.792
523657,4129704,4145329,9,74,0,0,0,31.199
523657,4129704,4145329,9,74,0,0,1,23.539
523657,4129705,4145333,9,58,0,0,0,42.652
523657,4129705,4145333,9,58,0,0,1,21.32
523657,4129713,4145345,9,45,0,0,0,18.216
523657,4129713,4145345,9,45,0,0,1,11.168
523657,4129714,4145347,9,35,0,0,0,7.556
523657,4129714,4145347,9,35,0,0,1,8.939
523657,4129715,4145718,9,36,0,0,0,9.122
523657,4129715,4145718,9,36,0,0,1,9.527
523657,4129717,4145830,9,16,0,0,0,3.708
523657,4129717,4145830,9,16,0,0,1,4.204
523657,4129718,4145832,9,16,0,0,0,2.646
523657,4129718,4145832,9,16,0,0,1,2.795
523657,4129719,4145842,9,13,0,0,0,3.221
523657,4129719,4145842,9,13,0,0,1,3.014
523657,4129720,4145844,9,21,0,0,0,6.041
523657,4129720,4145844,9,21,0,0,1,4.2
523657,4129721,4145846,9,28,0,0,0,10.513
523657,4129721,4145846,9,28,0,0,1,7.028
523657,4129730,4145872,9,19,0,0,0,6.758
523657,4129730,4145872,9,19,0,0,1,4.027
523657,4129731,4145880,9,20,0,0,0,3.56
523657,4129731,4145880,9,20,0,0,1,2.843
523657,4129732,4145888,9,51,0,0,0,24.144
523657,4129732,4145888,9,51,0,0,1,16.043
523657,4129735,4145975,9,11,0,0,0,2.882
523657,4129735,4145975,9,11,0,0,1,2.075
523657,4129736,4145977,9,37,0,0,0,21.869
523657,4129736,4145977,9,37,0,0,1,9.642
523657,4134153,4145953,9,43,0,0,0,17.718
523657,4134153,4145953,9,43,0,0,1,12.225
523657,4134153,4145976,9,50,0,0,0,15.702
523657,4134153,4145976,9,50,0,0,1,11.216
523657,4134169,4145824,9,45,0,0,0,9.031
523657,4134169,4145824,9,45,0,0,1,17.131
523657,4134192,4134391,5,22,0,0,0,4.302
523657,4134192,4134391,5,22,0,0,1,11.039
523657,4134192,4143141,5,108,6,5,1,16.556
523657,4134193,4134391,9,71,0,0,0,18.348
523657,4134193,4134391,9,71,0,0,1,14.552
523657,4134388,4145335,5,47,6,5,1,13.683
523657,4134389,4145336,5,47,6,4,0,19.165
523657,4134390,4134391,5,32,6,4,0,4.283
523657,4134390,4143139,5,112,6,5,1,33.737
523657,4134391,4143142,5,105,6,4,0,20.848
523657,4134392,4143142,5,48,6,5,1,6.973
523657,4134400,4143143,5,46,6,4,0,16.996
523657,4134896,4134898,9,45,0,0,0,13.288
523657,4134896,4134898,9,45,0,0,1,8.326
523657,4134898,4143264,9,15,0,0,0,7.021
523657,4134898,4143264,9,15,0,0,1,3.806
523657,4134961,4143128,4,113,6,5,1,31.655
523657,4134962,4143129,4,104,6,4,0,25.198
523657,4134963,4145204,5,95,6,5,1,30.545
523657,4134964,4145207,7,82,6,4,0,33.097
523657,4134965,4145168,3,63,6,5,1,8.018
523657,4134966,4145169,3,61,6,4,0,21.731
523657,4134967,4145206,7,15,6,5,1,3.266
523657,4134968,4145207,7,13,6,4,0,2.933
523657,4134969,4145826,3,25,6,5,1,5.165
523657,4135072,4145827,3,24,6,4,0,4.581
523657,4135073,4146404,5,4,6,5,1,0.622
523657,4135074,4146405,5,5,6,4,0,0.642
523657,4135075,4145975,7,37,6,4,0,4.264
523657,4135076,4146404,7,14,6,5,1,1.681
523657,4137395,4145205,5,18,0,0,0,8.223
523657,4137395,4145205,5,18,0,0,1,8.829
523657,4137396,4145856,7,76,6,5,1,13.108
523657,4137397,4145857,7,80,6,4,0,31.974
523657,4141476,4141748,4,114,4,4,0,36.186
523657,4141476,4146886,4,131,4,5,1,22.716
523657,4141477,4141746,4,129,4,5,1,13.804
523657,4141477,4146885,4,129,4,4,0,11.969
523657,4141478,4141480,4,99,4,5,1,13.028
523657,4141478,4146886,4,96,4,4,0,17.277
523657,4141479,4141481,4,98,4,4,0,9.791
523657,4141479,4146885,4,97,4,5,1,8.979
523657,4141480,4141488,4,94,4,5,1,10.977
523657,4141481,4141489,4,94,4,4,0,12.309
