node1,node2,dir,travel_time
[4721377, 4722807, 0, 8.448]
[4722807, 4722808, 0, 6.865]
[4722805, 4722808, 1, 17.357]
[4722805, 4725398, 0, 10.891]
[4725398, 4725400, 0, 12.228]
[4725399, 4725400, 1, 4.631]
[4700531, 4725399, 1, 12.601]
[4700517, 4700531, 1, 22.856]
[4700358, 4700517, 1, 10.906]
[4700297, 4700358, 1, 5.952]
[4700019, 4700297, 1, 7.679]
[4129576, 4700019, 1, 0.01]
[4129576, 4134390, 0, 16.901]
[4134390, 4134391, 0, 4.283]
[4134391, 4143142, 0, 20.848]
[4143142, 4143143, 0, 2.431]
[4143143, 4143153, 0, 8.27]
[4143153, 4143155, 0, 1.872]
[4143155, 4143156, 0, 10.476]
[4143156, 4143158, 0, 4.972]
[4143158, 4143160, 0, 12.962]
[4143160, 4143264, 0, 8.878]
[4143264, 4143266, 0, 6.878]
[4143266, 4143267, 0, 34.838]
[4143267, 4143269, 0, 24.872]
[4143269, 4145168, 0, 21.536]
[4145168, 4145169, 0, 2.479]
[4145169, 4145188, 0, 17.116]
[4145188, 4145190, 0, 15.741]
[4145190, 4145192, 0, 16.095]
[4145192, 4145200, 0, 22.714]
[4145200, 4145202, 0, 30.69]
[4145202, 4145204, 0, 29.677]
[4134963, 4145204, 1, 30.545]
[4134963, 4725491, 0, 0.01]
[4725491, 4725492, 0, 2.715]
[4725492, 4725496, 0, 37.064]
[4725496, 4725497, 0, 2.779]
[4725497, 4725601, 0, 20.449]
[4725601, 4725603, 0, 17.2]
[4725603, 4725605, 0, 28.244]
[4725605, 4725607, 0, 46.707]
[4725607, 4725616, 0, 28.99]
[4725616, 4725617, 0, 2.673]
[4725617, 4725619, 0, 11.237]
[4725619, 4725622, 0, 10.629]
[4725622, 4725623, 0, 0.714]
[4725623, 4725625, 0, 8.813]
[4725625, 4725637, 0, 25.662]
[4725637, 4725638, 0, 1.97]
[4725638, 4725640, 0, 18.281]
[4725640, 4725648, 0, 9.918]
[4725648, 4725649, 0, 24.466]
[4725649, 4725652, 0, 15.007]
[4725652, 4725654, 0, 12.712]
[4725654, 4726886, 0, 34.676]
[4726886, 4726887, 0, 1.788]
[4726773, 4726887, 1, 24.444]
[4726773, 4726775, 0, 13.712]
[4726775, 4726777, 0, 4.807]
[4726777, 4726881, 0, 14.319]
[4726881, 4726883, 0, 26.912]
[4726000, 4726883, 1, 25.146]
[4726000, 4726001, 0, 2.295]
[4725991, 4726001, 1, 11.135]
[4135075, 4725991, 1, 0.01]
[4135075, 4145975, 0, 4.264]
[4145975, 4145977, 0, 9.348]
[4145977, 4146081, 0, 15.863]
[4146081, 4146083, 0, 24.583]
[4146083, 4146085, 0, 11.353]
[4146085, 4146087, 0, 12.283]
[4146086, 4146087, 1, 4.993]
[4129011, 4146086, 1, 7.495]
[4129011, 4145961, 0, 7.651]
[4145961, 4145969, 0, 38.004]
[4145969, 4146867, 0, 2.925]
[4145971, 4146867, 1, 11.241]
[4145971, 4146869, 0, 7.601]
[4146135, 4146869, 1, 18.856]
[4146135, 4146137, 0, 43.371]
[4146137, 4146871, 0, 2.365]
[4146145, 4146871, 1, 17.217]
[4146145, 4146147, 0, 14.227]
[4146147, 4146149, 0, 18.062]
[4146149, 4146151, 0, 34.311]
[4146151, 4146153, 0, 17.751]
[4146153, 4146161, 0, 7.292]
[4146119, 4146161, 1, 11.273]
[4146119, 4146120, 0, 3.738]
[4146120, 4146163, 0, 7.106]
[4146163, 4146165, 0, 22.138]
[4146165, 4146167, 0, 18.549]
[4146167, 4146169, 0, 13.531]
[4146169, 4146873, 0, 14.372]
[4146177, 4146873, 1, 15.813]
[4146177, 4146881, 0, 23.827]
[4141746, 4146881, 1, 33.013]
[4141477, 4141746, 1, 13.804]
[4141477, 4146885, 0, 11.969]
[4141479, 4146885, 1, 8.979]
[4141479, 4141481, 0, 9.791]
[4141481, 4141489, 0, 12.309]
[4141489, 4146883, 0, 17.96]
[4141490, 4146883, 1, 12.959]
[4141490, 4141492, 0, 18.814]
[4141492, 4141494, 0, 2.609]
[4141494, 4141496, 0, 4.386]
[4141496, 4141505, 0, 11.707]
[4141505, 4141507, 0, 2.291]
[4141507, 4141509, 0, 30.321]
[4141509, 4141510, 0, 31.556]
[4141510, 4141512, 0, 36.918]
[4141512, 4141520, 0, 12.177]
[4141520, 4141522, 0, 14.912]
[4141522, 4141524, 0, 15.733]
[4141524, 4146393, 0, 31.8]
